Time : 45:28.706, Frame: 2571.000, Current FPS : 26.913, Average FPS : 29.642, Total FPS : 48.384
Time : 45:29.224, Frame: 2584.000, Current FPS : 25.119, Average FPS : 29.189, Total FPS : 48.160
Time : 45:29.743, Frame: 2598.000, Current FPS : 26.970, Average FPS : 28.968, Total FPS : 47.957
Time : 45:30.247, Frame: 2611.000, Current FPS : 25.794, Average FPS : 28.650, Total FPS : 47.753
Time : 45:30.766, Frame: 2624.000, Current FPS : 25.021, Average FPS : 28.287, Total FPS : 47.539
Time : 45:31.282, Frame: 2636.000, Current FPS : 23.245, Average FPS : 27.783, Total FPS : 47.314
Time : 45:31.803, Frame: 2649.000, Current FPS : 24.974, Average FPS : 27.502, Total FPS : 47.107
Time : 45:32.308, Frame: 2661.000, Current FPS : 23.755, Average FPS : 27.127, Total FPS : 46.899
Time : 45:32.829, Frame: 2675.000, Current FPS : 26.894, Average FPS : 27.104, Total FPS : 46.716
Time : 45:33.349, Frame: 2687.000, Current FPS : 23.045, Average FPS : 26.698, Total FPS : 46.504
Time : 45:33.853, Frame: 2700.000, Current FPS : 25.819, Average FPS : 26.610, Total FPS : 46.325
Time : 45:34.375, Frame: 2713.000, Current FPS : 24.899, Average FPS : 26.439, Total FPS : 46.135
Time : 45:34.898, Frame: 2729.000, Current FPS : 30.588, Average FPS : 26.854, Total FPS : 45.998
Time : 45:35.403, Frame: 2745.000, Current FPS : 31.682, Average FPS : 27.337, Total FPS : 45.877
Time : 45:35.923, Frame: 2762.000, Current FPS : 32.686, Average FPS : 27.872, Total FPS : 45.763
Time : 45:36.442, Frame: 2783.000, Current FPS : 40.473, Average FPS : 29.132, Total FPS : 45.718
Time : 45:36.948, Frame: 2803.000, Current FPS : 39.509, Average FPS : 30.170, Total FPS : 45.667
Time : 45:37.468, Frame: 2824.000, Current FPS : 40.377, Average FPS : 31.190, Total FPS : 45.622
Time : 45:37.990, Frame: 2844.000, Current FPS : 38.345, Average FPS : 31.906, Total FPS : 45.562
Time : 45:38.508, Frame: 2861.000, Current FPS : 32.840, Average FPS : 31.999, Total FPS : 45.457
Time : 45:39.012, Frame: 2883.000, Current FPS : 43.641, Average FPS : 33.163, Total FPS : 45.443
Time : 45:39.531, Frame: 2906.000, Current FPS : 44.276, Average FPS : 34.275, Total FPS : 45.433
Time : 45:40.050, Frame: 2928.000, Current FPS : 42.435, Average FPS : 35.091, Total FPS : 45.409
Time : 45:40.570, Frame: 2951.000, Current FPS : 44.230, Average FPS : 36.005, Total FPS : 45.400
